"id","city_id","country_code","country_id","country_name_en","country_name_ru","name_en","name_ru","parent_id","pretty_slug","type","slug"
6 302 318,6 302 318,R,153,Russia,Россия,Ivangorod,Ивангород,6 057 691,ivangorod,City,ivangorod
6 303 183,6 303 183,R,153,Russia,Россия,Pionersky,Пионерский,6 057 744,pionersky,City,pionersky
6 303 184,6 303 184,R,153,Russia,Россия,Laskino,Ласкино,6 057 744,laskino,City,laskino
6 303 261,6 303 261,R,153,Russia,Россия,Goryachiy Klyuch,Горячий Ключ,6 288 364,goryachiy_klyuch_krasnodar_krai,City,southern_russia_goryachiy_klyuch
6 303 268,6 303 268,R,153,Russia,Россия,Divnomorskoye,Дивноморское,6 288 364,divnomorskoye,City,divnomorskoye
6 303 271,6 303 271,R,153,Russia,Россия,Abrau-Dyurso,Абрау-Дюрсо,6 288 364,abrau-dyurso,City,abrau-dyurso
6 303 275,6 303 275,R,153,Russia,Россия,Golubitskaya,Голубицкая,6 288 364,golubitskaya_krasnodar_krai,City,southern_russia_golubitskaya
6 303 282,6 303 282,R,153,Russia,Россия,Medvedovskaya,Медведовская,6 288 364,medvedovskaya,City,medvedovskaya
6 303 295,6 303 295,R,153,Russia,Россия,Sukko,Сукко,6 288 364,sukko_krasnodar_krai,City,southern_russia_sukko
6 303 358,6 303 358,R,153,Russia,Россия,Armavir,Армавир,6 288 364,armavir_krasnodar_krai,City,southern_russia_armavir
6 303 477,6 303 477,R,153,Russia,Россия,Toksovo,Токсово,6 057 691,toksovo_leningrad,City,leningrad_toksovo
6 303 487,6 303 487,R,153,Russia,Россия,Torfyanovka,Торфяновка,6 057 691,torfyanovka,City,torfyanovka
6 303 681,6 303 681,R,153,Russia,Россия,Luzhki,Лужки,6 057 691,luzhki,City,luzhki
6 303 885,6 303 885,R,153,Russia,Россия,Lamishino,Ламишино,6 288 454,lamishino,City,lamishino
6 303 901,6 303 901,R,153,Russia,Россия,Voskresensk,Воскресенск,6 288 454,voskresensk_moscow_oblast,City,moscow_oblast_voskresensk
6 303 907,6 303 907,R,153,Russia,Россия,Kuznetsovo,Кузнецово,178 289,kuznetsovo,City,kuznetsovo
6 304 108,6 304 108,R,153,Russia,Россия,Bagrationovsk,Багратионовск,6 057 744,bagrationovsk,City,bagrationovsk
6 304 304,6 304 304,R,153,Russia,Россия,Pravdinsk,Правдинск,6 057 744,pravdinsk,City,pravdinsk
6 304 340,6 304 340,R,153,Russia,Россия,Gvardeysk,Гвардейск,6 057 744,gvardeysk,City,gvardeysk
6 304 370,6 304 370,R,153,Russia,Россия,Gorodets,Городец,1 361,gorodets_nizhniy_novgorod,City,volga_region_gorodets
6 304 373,6 304 373,R,153,Russia,Россия,Murom,Муром,6 288 571,murom_vladimir_oblast,City,golden_ring_murom
6 304 374,6 304 374,R,153,Russia,Россия,Gorokhovets,Гороховец,6 288 571,gorokhovets,City,gorokhovets
6 304 412,6 304 412,R,153,Russia,Россия,Afanasyevo,Афанасьево,1 361,afanasyevo,City,afanasyevo
6 304 440,6 304 440,R,153,Russia,Россия,Gorbatovka,Горбатовка,1 361,gorbatovka,City,gorbatovka
6 304 749,6 304 749,R,153,Russia,Россия,Cheposh,Чепош,6 288 305,cheposh,City,cheposh
6 305 167,6 305 167,R,153,Russia,Россия,Ziborovka,Зиборовка,6 288 316,ziborovka,City,ziborovka
6 305 350,6 305 350,R,153,Russia,Россия,Torzhok,Торжок,6 288 557,torzhok_tver_oblast,City,tver_oblast_torzhok
6 306 561,6 306 561,R,153,Russia,Россия,Shemordan,Шемордан,6 288 539,shemordan,City,shemordan
6 306 572,6 306 572,R,153,Russia,Россия,Zelenodolsk,Зеленодольск,6 288 539,zelenodolsk_republic_of_tatarstan,City,volga_region_zelenodolsk
6 306 798,6 306 798,R,153,Russia,Россия,Yeysk,Ейск,6 288 364,yeysk,City,yeysk
6 306 800,6 306 800,R,153,Russia,Россия,Leninogorsk,Лениногорск,6 288 539,leninogorsk,City,leninogorsk
6 306 804,6 306 804,R,153,Russia,Россия,Urussu,Уруссу,6 288 539,urussu,City,urussu
6 306 805,6 306 805,R,153,Russia,Россия,Zainsk,Заинск,6 288 539,zainsk,City,zainsk
6 306 806,6 306 806,R,153,Russia,Россия,Krugloye Pole,Круглое Поле,6 288 539,krugloye_pole,City,krugloye_pole
6 306 809,6 306 809,R,153,Russia,Россия,Gorki,Горки,6 288 454,gorki,City,gorki
6 306 811,6 306 811,R,153,Russia,Россия,Kubinka,Кубинка,6 288 454,kubinka,City,kubinka
6 306 812,6 306 812,R,153,Russia,Россия,Shapsugskaya,Шапсугская,6 288 364,shapsugskaya,City,shapsugskaya
6 306 813,6 306 813,R,153,Russia,Россия,Monino,Монино,178 289,monino,City,monino
6 307 355,6 307 355,R,153,Russia,Россия,Turgoyak,Тургояк,6 288 320,turgoyak,City,turgoyak
6 307 372,6 307 372,R,153,Russia,Россия,Karagayskiy,Карагайский,6 288 320,karagayskiy,City,karagayskiy
6 307 375,6 307 375,R,153,Russia,Россия,Novoabzakovo,Новоабзаково,6 288 314,novoabzakovo_republic_of_bashkortostan,City,ural_novoabzakovo
6 307 494,6 307 494,R,153,Russia,Россия,Kugesi,Кугеси,6 288 321,kugesi_chuvash_republic,City,volga_region_kugesi
6 307 496,6 307 496,R,153,Russia,Россия,Zvenigovo,Звенигово,6 288 370,zvenigovo,City,zvenigovo
6 307 603,6 307 603,R,153,Russia,Россия,Goryachinsk,Горячинск,6 288 318,goryachinsk,City,goryachinsk
6 307 641,6 307 641,R,153,Russia,Россия,Sakhyurta,Сахюрта,6 288 341,sakhyurta,City,sakhyurta
6 307 656,6 307 656,R,153,Russia,Россия,Shelekhov,Шелехов,6 084 689,shelekhov,City,shelekhov
6 307 675,6 307 675,R,153,Russia,Россия,Bolshaya Rechka,Большая Речка,6 084 689,bolshaya_rechka,City,bolshaya_rechka
6 308 036,6 308 036,R,153,Russia,Россия,Yegoryevsk,Егорьевск,6 288 454,yegoryevsk,City,yegoryevsk
