272	['acm_apart', 'action2book', 'city']	0.026%	снять апартаменты в москве на длительный срок	3
273	['resort_en', 'reviews']	0.026%	aonang phu petra resort krabi отзывы	2
274	['lang_ukr']	0.026%	розповідь про планету марс на українській мові 4 клас	3
275	['poi_metro', 'space_near']	0.026%	старый арбат метро ближайшее	8
276	['acm_obj_part', 'amn_newly_weds', 'city']	0.026%	номер для новобрачных в москве	13
277	['acm_hotel', 'acm_hotel_popular', 'action_perceive']	0.026%	слушать иглс отель калифорния	4
278	['action_reach', 'poi_metro', 'poi_metro_station', 'wh_how']	0.026%	как доехать на метро от кожуховской до красной пл	1
279	['acm_ghouse', 'city', 'reviews']	0.026%	отзывы о гостевом доме лотос саратов	2
280	['acm_gost', 'poi_metro', 'space_near']	0.026%	гостиница рядом с метро дыбенко	2
281	['acm_hotel', 'geo_uts']	0.026%	отель на выходные в кабардинке	6
282	['acm_hotel', 'amn_all_inclusive', 'city', 'date_year', 'poi_sea', 'price']	0.026%	отели в ялте на берегу моря все включено цены 2015	9
283	['city', 'geo_oblast', 'tour']	0.025%	туры на пхукет из иркутска	2
284	['resort_en', 'stars_4']	0.025%	Banburee Resort & Spa 4*	4
285	['acm_hotel', 'stars_3']	0.025%	отели в патайе 3 звезды	3
286	['action_visit', 'city', 'time_season', 'wh_where_direction']	0.025%	куда сходить с ребенком 9 лет в москве	3
287	['acm_hotel', 'city', 'poi_metro_station_spb']	0.025%	отель берисон московская казань	4
288	['acm_hostel', 'acm_hostel_popular']	0.025%	хостел друзья на восстания	5
289	['acm_hotel', 'resort_en']	0.025%	отель daima biz resort 5	2
290	['acm_gost', 'poi_avenue']	0.024%	невский маяк гостиница	2
291	['acm_hotel', 'city', 'poi_centre']	0.024%	отель ренессанс москва монарх центр	4
292	['acm_gost', 'geo_uts']	0.024%	гостиница ватерлоо в лоо	2
293	['arrangement', 'city', 'date_year', 'price', 'reviews']	0.024%	экскурсии во вьетнаме нячанг цены отзывы 2015	12
294	['acm_hostel', 'poi_metro_station_spb']	0.024%	хостел заходи на лесной	3
295	['action_perceive']	0.024%	спят усталые игрушки слушать	1
296	['acm_minihotel', 'poi_metro_station']	0.024%	мини отель рест на павелецкой	5
297	['acm_gost', 'acm_hotel_popular', 'city']	0.024%	гостиница белый парус улан-удэ	2
