89	['acm_gost', 'city', 'poi_metro', 'price_cheap', 'space_near']	0.074%	гостиница в москве недорого рядом с метро	32
90	['acm_gost', 'poi_metro_station_spb']	0.073%	гостиницы на невском проспекте	8
91	['acm_gost', 'poi_metro', 'poi_metro_station_spb']	0.072%	гостиница метро академическая	4
92	['action_visit', 'city', 'wh_where_direction']	0.070%	куда сходить в минске	12
93	['acm_apart', 'action2book', 'city']	0.069%	апартаменты в сочи снять	4
94	['acm_hostel', 'acm_hostel_popular', 'city']	0.069%	хостел лайк саранск	14
95	['action_reach', 'city', 'poi_metro_station', 'poi_station', 'wh_how']	0.068%	как добраться с ярославского вокзала до аэропорта домодедово	4
96	['arrangement', 'city', 'date_year', 'price', 'reviews']	0.066%	экскурсии в паттайе цены 2015 с отзывами	30
97	['acm_minihotel', 'city', 'price_cheap']	0.066%	мини-отели в москве недорого	18
98	['acm_gost_popular', 'city']	0.063%	ялта интурист	33
99	['acm_hotel', 'city', 'poi_centre', 'price_cheap']	0.061%	отели в москве в центре недорого	9
100	['acm_gost', 'acm_hotel_popular', 'city']	0.057%	гостиница ривьера казань	2
101	['acm_gost']	0.057%	гостиница	37
102	['acm_gost', 'city', 'contacts_site', 'poi_metro_station']	0.055%	измайловская гостиница москва официальный сайт	5
103	['acm_hotel', 'geo_oblast']	0.055%	отели алании	6
104	['acm_gost', 'amn_basin', 'city']	0.055%	гостиница с бассейном в краснодаре	3
105	['city', 'hot']	0.054%	горящие путевки в хургаду	4
106	['acm_hotel', 'city', 'country']	0.054%	отели в кемере турция	3
107	['acm_gost', 'city', 'geo_oblast', 'poi_metro_station_spb']	0.054%	гостиницы красногорска московской области	8
108	['arrangement', 'city', 'country', 'date_year', 'reviews']	0.053%	вьетнам нячанг экскурсии отзывы туристов 2015	53
109	['city', 'tickets', 'transport_train']	0.052%	билеты до москвы на поезде	3
110	['city', 'country', 'hot']	0.052%	египет шарм эль шейх горящие туры	41
111	['acm_hostel', 'action2book', 'city']	0.052%	снять хостел в москве	4
112	['acm_hotel', 'city', 'rating']	0.052%	рейтинг отелей шарм эль шейха	4
113	['acm_gost', 'city', 'contacts_site', 'poi_metro_station_spb']	0.051%	гостиница приморская сочи официальный сайт	6
114	['acm_gost', 'acm_gost_popular']	0.051%	гостиница космос	10
115	['action_reach', 'city', 'poi_metro', 'poi_metro_station', 'wh_how']	0.050%	как добраться до вднх на метро в москве	4
116	['action_see', 'city', 'wh_what']	0.050%	сочи что посмотреть	8
117	['action_reach', 'city', 'poi_metro_station', 'wh_how']	0.049%	как доехать до аэропорта внуково	2
118	['acm_hotel', 'city', 'contacts_site', 'date_year', 'price']	0.049%	отели ялты официальный сайт цены на 2015 год	10
119	['acm_hotel', 'city', 'price', 'price_cheap']	0.049%	отели в москве недорого цены	10
120	['acm_hotel', 'city', 'reviews']	0.049%	отели костромы отзывы	3
121	['acm_hotel', 'city', 'poi_metro', 'poi_metro_station_spb']	0.049%	отель санкт петербург на метро звездная	4
122	['acm_hotel', 'city', 'poi_sea']	0.048%	севастополь отели у моря	3
123	['acm_gost', 'city', 'stars_5']	0.047%	5 звезд гостиница в улан удэ	3
124	['acm_gost', 'acm_hotel_popular']	0.047%	гостиница москва сити	11
125	['acm_hostel', 'city', 'poi_metro_station_spb']	0.046%	хостел на пролетарской в москве	3
126	['acm_gost', 'city', 'geo_rayon', 'poi_metro', 'poi_metro_station']	0.046%	гостиницы в районе метро марксистская москва	3
127	['city', 'price', 'tour']	0.046%	путёвки на пхукет цены	3
128	['acm_hostel', 'city', 'poi_metro', 'poi_metro_station_spb']	0.045%	хостел метро фрунзенская москва	4
129	['acm_hotel', 'poi_metro_station_spb']	0.045%	отель на маяковской	4
130	['acm_gost', 'city', 'city_city', 'price']	0.044%	город мышкин гостиницы цены	8
131	['acm_gost', 'city', 'poi_station']	0.044%	москва курский вокзал гостиница	2
132	['action_fly', 'city', 'how_many']	0.043%	сколько лететь до питера	5
133	['acm_gost', 'city', 'poi_station', 'space_near']	0.043%	гостиница возле московского вокзала санкт-петербурга	2
134	['acm_hostel', 'poi_metro', 'poi_metro_station', 'space_near']	0.043%	хостелы рядом с метро электрозаводская	5
135	['acm_minihotel', 'poi_metro_station']	0.042%	мини отель на белорусской	2
136	['city', 'map']	0.042%	карта нячанга	4
137	['acm_gost', 'city', 'contacts_site', 'price']	0.042%	гостиница севастополь в севастополе официальный сайт цены	19
138	['action_see', 'city', 'date_month', 'wh_what']	0.041%	что посмотреть в сочи в ноябре	6
139	['acm_gost', 'city', 'price_expensive']	0.040%	не дорогие гостиницы в москве	4
140	['city', 'poi_station']	0.040%	с ленинградского вокзала до домодедово	3
141	['acm_hotel', 'poi_metro', 'poi_metro_station', 'space_near']	0.040%	отель около метро китай город	3
142	['acm_gost', 'geo_rayon', 'poi_metro_station']	0.039%	гостиницы в районе вднх	3
143	['acm_hostel', 'city', 'city_city']	0.039%	хостелы в г рязань	3
144	['acm_hotel', 'city', 'city_city']	0.038%	отель санкт-петербург санкт-петербург, г. санкт-петербург	3
145	['city', 'country', 'date_month', 'date_year', 'price', 'tour']	0.038%	туры в египет в декабре 2015 цены шарм эль шейх	8
146	['acm_gost', 'amn_breakfast', 'city', 'poi_centre', 'price_cheap']	0.038%	гостиницы санкт-петербурга недорого в центре с завтраком	36
147	['acm_minihotel', 'geo_oblast']	0.037%	мини отель челябинск	5
148	['acm_gost', 'city', 'poi_sea']	0.037%	гостиницы сочи у моря	5
